n,asymptotic.mse,boot.mse,asymptotic.rate1.se,boot.rate1.se,asymptotic.rate2.se,boot.rate2.se,asymptotic.rate3.se,boot.rate3.se,rate1,rate1.bias,rate2,rate2.bias,rate3,rate3.bias
100,0.3316597827958073,0.33813300324985107,0.32747426525340495,0.3445902622718823,0.26660714540919656,0.27076856524219095,0.391587816982742,0.3816380760033621,1.4170678275450292,0.013022057568963298,0.9431220411590249,0.007671695473191692,2.1713148831275153,0.016322673212050196
200,0.13832344163855748,0.14330112162093267,0.205765564635125,0.20854675545292695,0.18403503999406645,0.18389096394400198,0.24922896722357143,0.2568749185759638,1.122590883136543,9.108917667901171e-4,0.7371975594805008,0.0016626461748745838,1.7997001366751597,0.005816042738718083
300,0.10021526242794015,0.10133052306379403,0.1443495688073266,0.1470044896833146,0.18375235879113413,0.181919235605982,0.21357325453289636,0.2158135447079932,0.8228388721198674,0.004348912483759481,1.3122954837639491,-0.0016114002334661423,1.9740082326098383,0.006989645642999977
400,0.07679494089984541,0.07789063857950493,0.14522542008857497,0.14524466384359253,0.14994675724571666,0.1503723150508349,0.18226488485563108,0.18484996172992227,0.972529476066152,0.0027088165438894415,1.074941491321332,8.503295570043511e-4,1.9238520215859647,0.0045606405814932385
500,0.06100037445018991,0.062154820290463673,0.137022681273672,0.1378590918959845,0.13481840036955,0.13602020184613625,0.15507791005994154,0.15695421943320842,1.081710121331518,-0.0024931377884886375,1.0739265031963359,9.568288154231619e-4,1.6736750655231643,0.00434347289823269
600,0.05477232904726822,0.0548325146483489,0.1235111024198875,0.12402184834156463,0.1274876019972008,0.12738960633716714,0.15252622057631798,0.15235097745874374,1.0234240754460155,6.441284300130872e-4,1.2583525255215178,0.001993638089915499,1.8810613148190936,0.004328766897183627
700,0.04751264194372008,0.048897172224145496,0.10986749665763125,0.11200703024318448,0.1281433984764583,0.13132435719354107,0.13791680299662218,0.13817465056096662,0.985485395905617,0.002301937925934126,1.4752494548537043,0.004182438261832284,1.814558594519668,5.114894053011876e-4
800,0.037683447403705383,0.03752648173794115,0.09944257110462756,0.09917495482427732,0.10886825131683273,0.10850592743051213,0.1262629253226038,0.1261809225872962,0.9250210300539881,1.2301264293541084e-4,1.1480789914902734,0.0014524872881959228,1.822734943213074,0.001014828167520806
900,0.0360510505440638,0.036154109772291096,0.09697266131206018,0.09667032187512578,0.10333879022387003,0.10250395394017127,0.12636632437950884,0.1276587742678545,0.9579183167709346,0.0012573991839716515,1.1739712240699445,0.002408207752053369,1.999255605103616,-0.002232643611610869
1000,0.0314291049628789,0.0324161271639228,0.08972355860702792,0.09058064197802654,0.10139940276236332,0.10269473869779455,0.11444190278567618,0.1168856445206326,0.9495502108038194,0.002798214524676543,1.4001788905408978,-3.335218600714451e-4,1.7746214721236837,0.001163027683506072
1100,0.026921160489239288,0.02628295820335028,0.08311431235148997,0.0833849880443542,0.08912514844575338,0.08917678105312572,0.10986300326361316,0.1066754835223823,0.9320334265217336,0.0015840675186921244,1.093630807294751,-7.002965368820133e-4,1.977216538068954,-4.760228609385813e-5
1200,0.024369439086778927,0.02468252571738163,0.0823471193935437,0.08353295567878323,0.08707448524792648,0.08640485266969951,0.10003212000739074,0.10113784120486605,1.0328512144566737,0.0010912830833647621,1.1306039719490415,0.001854440788680466,1.7173337597221037,0.0032271006062264103
1300,0.022424339145060722,0.022694740874275757,0.08107170482980192,0.08137721964234029,0.0795519543002839,0.07911225821921412,0.09758690684746461,0.09908576785843205,1.1326361665768276,1.3068365872583889e-4,1.056855027816112,-4.3434043139987044e-4,1.7767350326690494,2.9029850883299384e-4
1400,0.022850186268524218,0.02336586453899582,0.08040343739136994,0.08194505030441575,0.08635672424948061,0.08682796374745952,0.0944880399895957,0.0954794991429557,1.1062446885869268,-2.3187804329514363e-4,1.335114520591476,-1.5890576574799386e-4,1.7222752581763832,1.9567901349333932e-4
1500,0.02096599610040936,0.0211988205154184,0.07514088875915267,0.07553929045710481,0.08190611357608861,0.08333844962419847,0.09279672136317574,0.09246182008774584,0.9384023745717758,9.50651326737335e-4,1.2498546695591923,-1.7066353467893035e-4,1.7747992700947828,0.0012074861975218641
1600,0.018471655669050104,0.018757020842046283,0.0676455760068459,0.0675916115618414,0.0763953322073933,0.0781277824784287,0.08977463412720854,0.08987806105142783,0.9013615565281672,-0.001115912997348396,1.2255590214728715,0.0025876978668554476,1.8559460518153112,0.0014789596114052573
1700,0.017574258919676938,0.017426071157847736,0.0699858871356392,0.06993372053817304,0.07384154458722111,0.07398174673530038,0.08499212207309537,0.08402836500688748,1.0303073270621756,-8.687812538481376e-4,1.1656185676272515,0.0017035553142713152,1.7425455315526925,0.0010530860708416637
1800,0.016709845462256658,0.016865181228784568,0.06715578053622111,0.06726173400736411,0.07279964489830482,0.07270577453298599,0.08306719151089847,0.08398907634334243,0.9784970695065338,9.755080073586277e-4,1.2039998853047427,9.52497901847725e-4,1.7361834836312193,0.0015032599987861554
1900,0.016391041082681815,0.016348463797473033,0.06741419903783091,0.06760172268301905,0.07347246312591957,0.07268490192032999,0.0803004608516036,0.08059534616888148,1.0025565031412076,-8.364122406314037e-4,1.3149895152745634,8.494949988108465e-4,1.6864419228501597,0.0012706726023257442
2000,0.015589459897332895,0.0157705070789739,0.06363279930768152,0.06355867069637548,0.07004355464912351,0.07124846124876179,0.08145076550724659,0.08157663979860791,0.9609438802282942,-2.0037306758977023e-4,1.1735251351962983,5.22821867824062e-4,1.8580588268141978,0.0015974148697660286
2100,0.013534134234191184,0.013956143936143906,0.061161423166260165,0.061310436404683984,0.06357426802983539,0.0648225545902072,0.07584014105300363,0.07740354317946681,0.9872151632419837,-9.199115087087705e-4,1.1005277278691321,0.0018113280217633126,1.7478869739767173,0.00160173207102386
2200,0.013410339080050633,0.013201239146663976,0.05944588505123787,0.05960930241789754,0.06622635533786714,0.06520456918667641,0.07409855389404171,0.07344359182179898,0.9461429286231658,2.4271300349439518e-5,1.2496886857119747,-5.990021794978725e-4,1.6677137107212912,0.0021572134555733627
2300,0.01368921046743703,0.013793267016234192,0.0605210689806194,0.06123590491301869,0.06685339965057938,0.06616606383742148,0.0745455138290699,0.07526634373134794,1.0045438963580118,-4.232324291585286e-4,1.2885016890700716,4.7299292196429876e-5,1.7531547240945522,0.0017428888929666758
2400,0.01263427673004582,0.01264599755245787,0.06000661618224578,0.05975238573484616,0.06272235542215415,0.06292189590379335,0.07141000542430612,0.07152367712164767,1.0810164016082293,-7.1400292634189207e-05,1.1961918023156248,0.0014645873170472277,1.7226890222729736,0.0011079233305113455
2500,0.01206514716044791,0.011875865728653793,0.055799704825914426,0.056084699559386456,0.06304227845289957,0.06255202497656376,0.070549353145552,0.06942446965947323,0.9270362377487943,4.505911327920907e-4,1.3004150798659873,2.1681255189078397e-5,1.7103045011994547,1.774447569338496e-4
2600,0.01173975204264566,0.01173384320996035,0.05524620277718021,0.054742234907002724,0.06463375970610599,0.06501175799714992,0.06715717554812513,0.06717445315414834,0.9184392593702246,-5.315844263527329e-5,1.4141094370409304,3.318677702723011e-4,1.6000012418892775,6.551797421057153e-4
2700,0.01150768275764075,0.011303920558777448,0.05571652189853137,0.05541060914392229,0.06135494598890157,0.06111349507503974,0.06810963623357706,0.06708112494720583,1.0135892035237193,6.515182902125963e-4,1.291833836074556,6.863578734770072e-4,1.7457680680988443,4.6238494400747634e-4
2800,0.01061962554578855,0.010456941753075977,0.0538250466003136,0.054157545975113804,0.05842081381684984,0.05782239046816871,0.06564677004422675,0.06466608700246226,1.0138029619205868,-1.6755177903534236e-4,1.2182574752842668,7.932390906466076e-4,1.6993301717303886,4.523845700045431e-4
2900,0.010790594568725734,0.010936765177647308,0.053445191323022195,0.05242047514278676,0.05892540837494013,0.05954103372133969,0.06679822109171638,0.06813294616128897,0.9829824373090128,-2.891015263981225e-4,1.2828210437475278,-4.611841875237346e-4,1.7825073333856474,0.0018752790550385793
3000,0.009809342951467877,0.009924080543314317,0.052571791226933014,0.0538238676191219,0.05622854270637393,0.05580117564745935,0.0623209491565808,0.062530249355753,1.0544405925781488,4.110560103664163e-4,1.2572306293488595,-0.00151398201127402,1.629963692009389,0.0016708032591844692
3100,0.01019839437634009,0.010254940181169578,0.051945832131480636,0.05228340486225543,0.05811154330605324,0.057780908276498746,0.06421116285426408,0.06466983327738729,1.0115214945943547,-5.113356328971908e-4,1.3659720261997061,0.0015021388071616863,1.7428058981813639,3.13128880267902e-4
3200,0.009476375762886912,0.00950908106620949,0.05010198638988022,0.049990031860450146,0.05411431414578928,0.053859315132219115,0.06354374656255327,0.06409829963797388,0.9753510969107778,-8.744106894953128e-5,1.2160321892983683,1.691973225111528e-4,1.805754385676768,0.0015891344690413499
