R,p,tau,N,bias1,bias2,bias3,bias4,bias5,bias6,bias7,mse,se1,se2,se3,se4,se5,se6,se7,se_asym1,se_asym2,se_asym3,se_asym4,se_asym5,se_asym6,se_asym7,mse_asym,mse_asym_hat,coverage1,coverage2,coverage3,coverage4,coverage5,coverage6,coverage7
1000,0.333,0.188611477703386,5,0.259792591529887,0.189270730964487,0.363562136554472,0.150882508291315,0.121289891434651,0.210372126869005,0.1834719466277,50.4653863109154,2.28396677283495,2.20257754145229,2.56270646414708,2.38605295856555,2.30563809212753,2.31577519080929,2.67153292374813,8.92092725066064,7.70929073550107,16.6495190628557,7.70929073550109,16.6495190628556,8.32761234947715,16.6495190628556,501.357180026731,1099.41785281689,0.83,NA,NA,NA,NA,0.818,0.812
1000,0.333,0.188611477703386,10,0.0313575150868157,0.0433228637422229,0.0901603184818011,0.093343869945812,0.125547232350528,0.220119410626218,0.101228254713579,22.6355071422338,1.55922256074068,1.71644947271915,1.60265249859541,1.77213051717757,1.72097557438805,1.78455622611457,1.74074013473477,16.0555494091492,13.2701914577569,12.6056147535389,12.5200600805352,7.05090459704191,13.6024670515825,4.63636370426327,542.668977433821,1005.77030981419,0.964,NA,NA,NA,NA,0.978,0.981
1000,0.333,0.188611477703386,15,0.0768372677906428,-0.0135272064498744,0.0597447992658021,-0.00298679125765267,0.0314990873684515,0.0552576272067429,0.0829317224489274,14.4627856105541,1.41995524173994,1.34621417514786,1.3029289792003,1.37690918853914,1.3890870334263,1.38530768030276,1.47992398347083,3.1540321543052,3.06986146662869,3.87716727936996,3.83937760515239,3.13967000337645,3.41940549794473,3.16260125480193,113.461391960636,80.6971231481968,0.993,NA,0.995,NA,0.996,0.994,0.997
1000,0.333,0.188611477703386,20,0.0286323180296186,-0.00380432549936383,0.0350680002248703,0.115208322473413,0.0586641674575494,0.0846954546474663,-0.0108664189084475,11.0876563135473,1.21050384573544,1.19453671627905,1.19522710737446,1.31889274183453,1.25193571649471,1.22151481741025,1.16658803491354,1.73491416087558,1.3485809545888,2.26658351402172,1.90953951613714,1.1310102551159,2.05740202217241,1.81819270853945,29.5386100642834,22.4302517298131,0.993,0.999,0.998,0.989,NA,0.998,0.995
1000,0.333,0.188611477703386,25,0.0509052523714391,0.0136541937141208,0.00729076124955375,-0.0663543580303039,0.0138378099254748,0.0770198900004093,0.0714837698973532,8.99806297093415,1.12241427181281,1.13167884501374,1.07810470972698,1.09860803826639,1.11088619538497,1.07960868516222,1.14444719923205,1.20112775702902,1.14113350561443,1.36229028287101,1.16462047722921,1.22808085875097,1.1822840701154,1.34961097640369,29.5201388091981,10.6844972428363,0.992,NA,0.994,0.989,0.991,0.992,0.984
1000,0.333,0.188611477703386,30,0.0503682254963964,0.0539745203467257,0.0422139038089177,0.00247743092655051,-0.0707165524855824,0.0786941318673766,0.0745208061144698,7.76016762349515,1.00787966254856,1.05031202883176,0.990747822593783,1.07072393367836,1.0095606400972,1.02924501570394,1.06439324310731,1.21900802340819,1.09721874377539,0.649701693069896,1.24846917405833,1.54607195201239,1.22687790594652,1.07511350026021,22.6442048631608,9.72209401671823,0.984,0.983,0.988,0.984,0.985,0.984,0.985
1000,0.333,0.188611477703386,35,0.0514791371784344,-0.00854667499679507,-0.00339921246266739,0.0194991745103388,0.0297111954082172,0.069096944288114,0.0610729190900596,6.72455190633341,0.933700425173233,0.970885814005638,0.920007566272871,0.99315360191783,0.983914939570074,0.961547128218333,0.973915937744909,1.39432264664468,1.8539779284247,0.764102230718454,1.61165215002572,1.4762722529571,1.22870691709109,1.38274280490472,6.23893223471669,14.1637227911779,0.985,0.98,0.987,0.973,0.98,0.977,0.98
1000,0.333,0.188611477703386,40,0.0360386456720354,0.003942986556279,0.0131741628119562,-0.0257496724981605,0.00969257130944667,0.0251502034179587,0.0073261216020879,5.87812311235683,0.89791878157543,0.906266130686308,0.891411341331975,0.914117919005137,0.896161356413032,0.903850725709407,0.907875752500258,1.02931078790688,0.966889450344143,1.00465867544346,1.04702054243219,0.928746090031617,1.11289716419166,1.06947016073626,6.20548219331104,7.34482280022718,0.98,0.972,0.983,0.973,0.98,0.975,0.973
1000,0.333,0.188611477703386,45,0.0116974320956085,0.00157806923926307,0.0627719289220031,0.00726599694237962,-0.010141851882506,0.024241167558581,-0.00116124164707188,5.29196890190057,0.851514091102241,0.850187450951304,0.85797368680299,0.85386926895132,0.869291058212005,0.885422013296174,0.833880017845583,1.18705642055244,0.765329868066502,1.03456385026494,0.732867779620931,0.745482378776186,0.854265639945679,0.536013335590914,6.13752334229583,5.17507435179989,0.97,0.968,0.97,0.965,0.965,0.967,0.973
1000,0.333,0.188611477703386,50,0.0429860269479991,-0.0432188484346407,0.0458764534647685,0.00861799454579848,0.0289360675163117,0.0102537518556252,0.0322146344589729,4.82812022028854,0.812441599566927,0.804717085221173,0.815673305100114,0.817085255513026,0.840734801302661,0.81236190193788,0.827236152079776,0.864133308407095,0.882107475259476,0.978655940676384,1.21675633206715,0.859520883689331,1.06824253850317,1.07379225212854,8.76326233907109,6.99605146575098,0.972,0.971,0.975,0.964,0.958,0.965,0.955
1000,0.333,0.188611477703386,60,0.00473738771194898,-0.00511590626741398,0.0444139065017212,0.035320318355119,0.00793174308052103,0.0228792283370454,0.0424827503538736,4.13076334761485,0.706104450657035,0.759802971208199,0.773723753876213,0.784697681098568,0.775641544993075,0.754994049291856,0.75255548980427,0.846976477887249,0.90319551470173,0.843182846741504,0.372335133856807,0.628005740820177,0.674797028831913,0.694279338944019,4.22602003209776,3.71448809792291,0.966,0.95,0.966,0.949,0.939,0.96,0.952
