"R","p","tau","N","bias1","bias2","bias3","bias4","bias5","mse","se1","se2","se3","se4","se5","se_asym1","se_asym2","se_asym3","se_asym4","se_asym5","mse_asym","mse_asym.hat","coverage1","coverage2","coverage3","coverage4","coverage5"
10,0.333,0.261564973796206,25,-0.141542391701564,-0.231120795779214,0.423341047401327,-0.415518050611839,0.0157949333762331,2.14023726892011,0.498942408866873,0.764653286459275,0.669889884436248,0.667024251974872,0.543093908715352,0.740028966343983,1.30536741629387,0.778477237111986,1.35568456795022,0.763064888148864,2.8202930246053,5.2778024425554,0.9,1,1,1,1
10,0.333,0.261564973796206,30,0.0360408570035942,0.203195702818415,-0.0392952150963563,0.018733513216054,-0.0703320226212465,2.33948163177955,0.843673627468432,0.820441514877653,0.618277429459566,0.545755919420443,0.599484846291142,0.719983443090603,1.08961153484782,1.0751133171371,0.703080788098296,0.797671321927974,5.38083763826583,3.9921002323028,0.9,0.8,0.9,1,1
10,0.333,0.261564973796206,35,0.32522631445346,-0.124052703991701,-0.186355746847875,0.124266328089527,-0.0224071081009343,1.86786190708424,0.74820181236561,0.324972629695609,0.436456687199534,0.720019289963334,0.537307655800082,0.584129539903063,0.39398682480403,0.526779932776605,0.90119988539909,0.966083109556624,1.51545986583412,2.51940784309658,0.9,1,0.9,1,1
10,0.333,0.261564973796206,40,0.0689014130725538,-0.250654785551189,-0.00340323584828572,0.0778570152150277,0.261454995108486,1.56493194915886,0.629907922693004,0.36935296359858,0.452598849752371,0.531698353942157,0.670562829772187,0.52652516361165,0.447565351982249,0.486595352785634,0.552496309161534,0.513777228083635,2.25001991589925,1.28353774129826,0.9,1,0.9,1,1
10,0.333,0.261564973796206,45,0.220323393330347,-0.174760970811264,-0.0339498203515164,0.196101441051073,0.307240866118659,2.21702517063237,0.673148679120921,0.651862550184523,0.496108386561858,0.617883691387307,0.748834792911046,0.659197093591274,0.53674274893103,0.630417156196015,0.674211666896644,0.617996773715102,2.89383054741339,1.95654076165732,1,1,0.9,0.9,0.9
10,0.333,0.261564973796206,50,0.18514635650312,-0.0520069855319336,0.0330583523235931,-0.199606757562363,0.4273668714276,1.79796363302788,0.636625871625402,0.464526445494138,0.528210361457688,0.418655205673874,0.752004774987133,0.611405851840213,0.605921911842536,0.788223005545094,0.74893116315061,0.60368069770798,2.37775242478817,2.28758225730923,0.9,1,1,1,0.8
10,0.333,0.261564973796206,60,0.0339902299169985,0.141041332358712,0.302374047498435,-0.119225700868457,-0.158451583223192,1.34401462954057,0.441360367119742,0.422719770948098,0.570600220445064,0.598971782113075,0.554023153933418,0.494511870709002,0.561542152681412,0.609019820182294,0.651648303052813,0.588780840470066,2.11220618577782,1.70208510986131,1,1,0.9,1,1
10,0.333,0.261564973796206,70,-0.0417789704569121,-0.138662363125752,0.0776293912955315,0.36342507816634,-0.115219322088136,1.32789635057695,0.42922300295756,0.447643956850685,0.508678010561306,0.641392247234907,0.310372223458366,0.662720822969452,0.50572325417306,0.539631135788782,0.643090723494956,0.567173961361968,1.7841330850127,1.72140864281368,0.9,0.9,1,0.7,0.9
10,0.333,0.261564973796206,80,0.155696010458544,-0.180006288633324,-0.0380857308371633,-0.143375437335171,0.0117759924530794,0.977529726597634,0.378688372660848,0.44178947580457,0.380686449254341,0.376225378853369,0.558744508787462,0.493958622079623,0.580786364359164,0.358254375532996,0.399544343018972,0.444713193948478,1.0739637253971,1.06705962585119,0.9,0.8,0.9,1,0.9
10,0.333,0.261564973796206,90,-0.00597279512923476,-0.160400200840327,0.123482104171729,0.0327926336862421,0.247631027166238,0.92024252927225,0.330277697269697,0.430428891929057,0.499465858573423,0.364464057562459,0.355490921698525,0.424856874335869,0.426069045206781,0.337546225226679,0.367322769054773,0.368601415961361,0.95963110226151,0.746768669633428,0.9,0.8,0.8,1,1
10,0.333,0.261564973796206,100,0.0554966063551303,0.0620867609976627,-0.131443205437672,-0.0385501136513555,-0.114854614064978,1.00296963597086,0.431919707882759,0.506337349115265,0.239747638421875,0.507651582120063,0.475307801615542,0.36798005901807,0.500800738561336,0.383280606577873,0.47522561445993,0.474749747807814,0.82373271366531,0.984341434639626,0.9,0.9,0.8,0.7,0.7
10,0.333,0.261564973796206,250,0.00235662343995258,-0.104124282454216,-0.0331661830720951,0.0972506434133702,0.129431367071859,0.3930828259174,0.204296705177568,0.265121512505237,0.120886273038044,0.263154761485173,0.337253607131265,0.252482020553158,0.232075300731262,0.263414909847466,0.240862560433078,0.273923486407681,0.331146786041342,0.320042380066177,0.9,0.8,0.9,0.8,0.9
10,0.333,0.261564973796206,500,0.0586267052192988,-0.0112533870593832,0.0443014453762199,0.0975183900652907,-0.0379701307612024,0.252174211437943,0.218286388742083,0.203039195691884,0.165589449218735,0.302711192886776,0.159154349932615,0.185206687164046,0.193290561034644,0.170490795578558,0.205070727380149,0.183229045356147,0.191095586755125,0.176356755622726,0.7,0.9,0.9,0.9,0.9
